Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Location,Chrome 144.0.7559.60,,,26-01-2026 13:47:57,26-01-2026 13:49:37,1m - 39.822s,PASSED
,,,,,,,
Test Cases/Location/TC.LOC.5,Chrome 144.0.7559.60,,,26-01-2026 13:48:50,26-01-2026 13:49:37,46.992s,PASSED
"openBrowser("""")",Chrome 144.0.7559.60,,,26-01-2026 13:48:50,26-01-2026 13:48:51,1.433s,PASSED
"navigateToUrl(""https://qa.engagement.magiqdev.cloud/organisation"")",Chrome 144.0.7559.60,,,26-01-2026 13:48:51,26-01-2026 13:48:52,0.806s,PASSED
"waitForElementVisible(findTestObject(""Location/btn_location""), 120)",Chrome 144.0.7559.60,,,26-01-2026 13:48:52,26-01-2026 13:48:58,5.525s,PASSED
"click(findTestObject(""Location/btn_location""))",Chrome 144.0.7559.60,,,26-01-2026 13:48:58,26-01-2026 13:48:58,0.383s,PASSED
"waitForElementVisible(findTestObject(""Location/btn_upload""), 120)",Chrome 144.0.7559.60,,,26-01-2026 13:48:58,26-01-2026 13:48:59,1.328s,PASSED
"click(findTestObject(""Location/btn_upload""))",Chrome 144.0.7559.60,,,26-01-2026 13:48:59,26-01-2026 13:49:14,14.397s,PASSED
"filePath = ""D:\Upload\MagiqTowns.json""",Chrome 144.0.7559.60,,,26-01-2026 13:49:14,26-01-2026 13:49:14,0.008s,PASSED
robot = new java.awt.Robot(),Chrome 144.0.7559.60,,,26-01-2026 13:49:14,26-01-2026 13:49:14,0.133s,PASSED
"getSystemClipboard().setContents(new java.awt.datatransfer.StringSelection(filePath), null)",Chrome 144.0.7559.60,,,26-01-2026 13:49:14,26-01-2026 13:49:14,0.172s,PASSED
robot.keyPress(VK_CONTROL),Chrome 144.0.7559.60,,,26-01-2026 13:49:14,26-01-2026 13:49:14,0.051s,PASSED
robot.keyPress(VK_V),Chrome 144.0.7559.60,,,26-01-2026 13:49:14,26-01-2026 13:49:14,0.007s,PASSED
robot.keyRelease(VK_V),Chrome 144.0.7559.60,,,26-01-2026 13:49:14,26-01-2026 13:49:14,0.031s,PASSED
robot.keyRelease(VK_CONTROL),Chrome 144.0.7559.60,,,26-01-2026 13:49:14,26-01-2026 13:49:14,0.015s,PASSED
robot.keyPress(VK_ENTER),Chrome 144.0.7559.60,,,26-01-2026 13:49:14,26-01-2026 13:49:14,0.019s,PASSED
robot.keyRelease(VK_ENTER),Chrome 144.0.7559.60,,,26-01-2026 13:49:14,26-01-2026 13:49:14,0.023s,PASSED
"waitForElementPresent(findTestObject(""Location/btn_update""), 120)",Chrome 144.0.7559.60,,,26-01-2026 13:49:14,26-01-2026 13:49:37,22.280s,PASSED
"click(findTestObject(""Location/btn_update""))",Chrome 144.0.7559.60,,,26-01-2026 13:49:37,26-01-2026 13:49:37,0.350s,PASSED
