Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TC_CO,Chrome 143.0.7499.170,,,06-01-2026 15:54:28,06-01-2026 15:56:00,1m - 32.295s,PASSED
,,,,,,,
Test Cases/CO/TC1.1,Chrome 143.0.7499.170,,,06-01-2026 15:55:24,06-01-2026 15:55:54,30.026s,PASSED
"callTestCase(findTestCase(""Login/LG-01""), [:], STOP_ON_FAILURE)",Chrome 143.0.7499.170,,,06-01-2026 15:55:24,06-01-2026 15:55:46,22.244s,PASSED
PAGELOAD_TIMEOUT = 300,Chrome 143.0.7499.170,,,06-01-2026 15:55:46,06-01-2026 15:55:46,0.001s,PASSED
WAIT_FIELD = 60,Chrome 143.0.7499.170,,,06-01-2026 15:55:46,06-01-2026 15:55:46,0.003s,PASSED
MAX_RELOAD_ATTEMPTS = 1,Chrome 143.0.7499.170,,,06-01-2026 15:55:46,06-01-2026 15:55:46,0.002s,PASSED
WAIT_AFTER_CLICK = 90,Chrome 143.0.7499.170,,,06-01-2026 15:55:46,06-01-2026 15:55:46,0.001s,PASSED
WAIT_TIMEOUT = 120,Chrome 143.0.7499.170,,,06-01-2026 15:55:46,06-01-2026 15:55:46,0.001s,PASSED
MEDIUM = 15,Chrome 143.0.7499.170,,,06-01-2026 15:55:46,06-01-2026 15:55:46,0.001s,PASSED
SHORT = 5,Chrome 143.0.7499.170,,,06-01-2026 15:55:46,06-01-2026 15:55:46,0.001s,PASSED
LONG = 30,Chrome 143.0.7499.170,,,06-01-2026 15:55:46,06-01-2026 15:55:46,0.001s,PASSED
try,Chrome 143.0.7499.170,,,06-01-2026 15:55:46,06-01-2026 15:55:46,0.653s,PASSED
driver = getWebDriver(),Chrome 143.0.7499.170,,,06-01-2026 15:55:46,06-01-2026 15:55:46,0.001s,PASSED
"bodyEl = driver.findElement(By.tagName(""body""))",Chrome 143.0.7499.170,,,06-01-2026 15:55:46,06-01-2026 15:55:47,0.460s,PASSED
actions = new org.openqa.selenium.interactions.Actions(driver),Chrome 143.0.7499.170,,,06-01-2026 15:55:47,06-01-2026 15:55:47,0.013s,PASSED
targetX = 0,Chrome 143.0.7499.170,,,06-01-2026 15:55:47,06-01-2026 15:55:47,0.001s,PASSED
targetY = 300,Chrome 143.0.7499.170,,,06-01-2026 15:55:47,06-01-2026 15:55:47,0.001s,PASSED
"moveToElement(bodyEl, targetX, targetY).perform()",Chrome 143.0.7499.170,,,06-01-2026 15:55:47,06-01-2026 15:55:47,0.140s,PASSED
