Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Location,Chrome 144.0.7559.60,,,26-01-2026 13:52:10,26-01-2026 13:52:40,30.352s,INCOMPLETE
,,,,,,,
Test Cases/Location/TC.LOC.5,Chrome 144.0.7559.60,,,26-01-2026 13:52:12,26-01-2026 13:52:40,28.005s,INCOMPLETE
"openBrowser("""")",Chrome 144.0.7559.60,,,26-01-2026 13:52:13,26-01-2026 13:52:16,3.433s,PASSED
"navigateToUrl(""https://qa.engagement.magiqdev.cloud/organisation"")",Chrome 144.0.7559.60,,,26-01-2026 13:52:16,26-01-2026 13:52:16,0.124s,PASSED
"waitForElementVisible(findTestObject(""Location/btn_location""), 120)",Chrome 144.0.7559.60,,,26-01-2026 13:52:16,26-01-2026 13:52:23,6.672s,PASSED
"click(findTestObject(""Location/btn_location""))",Chrome 144.0.7559.60,,,26-01-2026 13:52:23,26-01-2026 13:52:24,0.487s,PASSED
"waitForElementVisible(findTestObject(""Location/btn_upload""), 120)",Chrome 144.0.7559.60,,,26-01-2026 13:52:24,26-01-2026 13:52:25,1.232s,PASSED
"click(findTestObject(""Location/btn_upload""))",Chrome 144.0.7559.60,,,26-01-2026 13:52:25,26-01-2026 13:52:40,15.051s,PASSED
"filePath = ""D:\Upload\MagiqTowns.json""",Chrome 144.0.7559.60,,,26-01-2026 13:52:40,26-01-2026 13:52:40,0.002s,PASSED
robot = new java.awt.Robot(),Chrome 144.0.7559.60,,,26-01-2026 13:52:40,26-01-2026 13:52:40,0.076s,PASSED
"getSystemClipboard().setContents(new java.awt.datatransfer.StringSelection(filePath), null)",Chrome 144.0.7559.60,,,26-01-2026 13:52:40,26-01-2026 13:52:40,0.203s,PASSED
robot.keyPress(VK_CONTROL),Chrome 144.0.7559.60,,,26-01-2026 13:52:40,26-01-2026 13:52:40,0.086s,PASSED
robot.keyPress(VK_V),Chrome 144.0.7559.60,,,26-01-2026 13:52:40,26-01-2026 13:52:40,0.006s,PASSED
robot.keyRelease(VK_V),Chrome 144.0.7559.60,,,26-01-2026 13:52:40,26-01-2026 13:52:40,0.006s,PASSED
robot.keyRelease(VK_CONTROL),Chrome 144.0.7559.60,,,26-01-2026 13:52:40,26-01-2026 13:52:40,0.006s,PASSED
robot.keyPress(VK_ENTER),Chrome 144.0.7559.60,,,26-01-2026 13:52:40,26-01-2026 13:52:40,0.012s,PASSED
robot.keyRelease(VK_ENTER),Chrome 144.0.7559.60,,,26-01-2026 13:52:40,26-01-2026 13:52:40,0.011s,PASSED
delay(30),Chrome 144.0.7559.60,,,26-01-2026 13:52:40,26-01-2026 13:52:40,0.000s,INCOMPLETE
