Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TC_CO,Chrome 143.0.7499.170,,,06-01-2026 11:22:37,06-01-2026 11:23:01,23.675s,PASSED
,,,,,,,
Test Cases/CO/TC1.1,Chrome 143.0.7499.170,,,06-01-2026 11:22:39,06-01-2026 11:23:00,21.382s,PASSED
"callTestCase(findTestCase(""Login/LG-01""), [:], STOP_ON_FAILURE)",Chrome 143.0.7499.170,,,06-01-2026 11:22:40,06-01-2026 11:22:55,14.976s,PASSED
PAGELOAD_TIMEOUT = 300,Chrome 143.0.7499.170,,,06-01-2026 11:22:55,06-01-2026 11:22:55,0.002s,PASSED
WAIT_FIELD = 60,Chrome 143.0.7499.170,,,06-01-2026 11:22:55,06-01-2026 11:22:55,0.003s,PASSED
MAX_RELOAD_ATTEMPTS = 1,Chrome 143.0.7499.170,,,06-01-2026 11:22:55,06-01-2026 11:22:55,0.006s,PASSED
WAIT_AFTER_CLICK = 90,Chrome 143.0.7499.170,,,06-01-2026 11:22:55,06-01-2026 11:22:55,0.003s,PASSED
WAIT_TIMEOUT = 120,Chrome 143.0.7499.170,,,06-01-2026 11:22:55,06-01-2026 11:22:55,0.002s,PASSED
MEDIUM = 15,Chrome 143.0.7499.170,,,06-01-2026 11:22:55,06-01-2026 11:22:55,0.002s,PASSED
SHORT = 5,Chrome 143.0.7499.170,,,06-01-2026 11:22:55,06-01-2026 11:22:55,0.004s,PASSED
LONG = 30,Chrome 143.0.7499.170,,,06-01-2026 11:22:55,06-01-2026 11:22:55,0.003s,PASSED
try,Chrome 143.0.7499.170,,,06-01-2026 11:22:55,06-01-2026 11:22:55,0.678s,PASSED
driver = getWebDriver(),Chrome 143.0.7499.170,,,06-01-2026 11:22:55,06-01-2026 11:22:55,0.002s,PASSED
"bodyEl = driver.findElement(By.tagName(""body""))",Chrome 143.0.7499.170,,,06-01-2026 11:22:55,06-01-2026 11:22:56,0.757s,PASSED
actions = new org.openqa.selenium.interactions.Actions(driver),Chrome 143.0.7499.170,,,06-01-2026 11:22:56,06-01-2026 11:22:56,0.019s,PASSED
targetX = 0,Chrome 143.0.7499.170,,,06-01-2026 11:22:56,06-01-2026 11:22:56,0.002s,PASSED
targetY = 300,Chrome 143.0.7499.170,,,06-01-2026 11:22:56,06-01-2026 11:22:56,0.002s,PASSED
"moveToElement(bodyEl, targetX, targetY).perform()",Chrome 143.0.7499.170,,,06-01-2026 11:22:56,06-01-2026 11:22:56,0.138s,PASSED
"comment(🖱️ Đã move Actions tới body offset (x=$targetX, y=$targetY).)",Chrome 143.0.7499.170,,,06-01-2026 11:22:56,06-01-2026 11:22:56,0.004s,PASSED
click().perform(),Chrome 143.0.7499.170,,,06-01-2026 11:22:56,06-01-2026 11:22:56,0.021s,PASSED
"comment(✅ Đã click bằng Actions tại mép trái (x≈0), giữa màn hình (y≈$targetY).)",Chrome 143.0.7499.170,,,06-01-2026 11:22:56,06-01-2026 11:22:56,0.009s,PASSED
aAccount = new com.kms.katalon.core.testobject.TestObject(a_account),Chrome 143.0.7499.170,,,06-01-2026 11:22:56,06-01-2026 11:22:56,0.002s,PASSED
"aAccount.addProperty(""xpath"", EQUALS, ""//a[@href='organisation']"")",Chrome 143.0.7499.170,,,06-01-2026 11:22:56,06-01-2026 11:22:56,0.002s,PASSED
"present = waitForElementPresent(aAccount, WAIT_TIMEOUT, OPTIONAL)",Chrome 143.0.7499.170,,,06-01-2026 11:22:56,06-01-2026 11:22:57,0.257s,PASSED
"visible = waitForElementVisible(aAccount, WAIT_TIMEOUT, OPTIONAL)",Chrome 143.0.7499.170,,,06-01-2026 11:22:57,06-01-2026 11:22:57,0.251s,PASSED
"clickable = waitForElementClickable(aAccount, WAIT_TIMEOUT, OPTIONAL)",Chrome 143.0.7499.170,,,06-01-2026 11:22:57,06-01-2026 11:22:57,0.264s,PASSED
if (!(present && visible)),Chrome 143.0.7499.170,,,06-01-2026 11:22:57,06-01-2026 11:22:57,0.001s,PASSED
if (clickable),Chrome 143.0.7499.170,,,06-01-2026 11:22:57,06-01-2026 11:22:58,0.478s,PASSED
"click(findTestObject(""CO/btt_change_org""))",Chrome 143.0.7499.170,,,06-01-2026 11:22:58,06-01-2026 11:22:59,1.492s,PASSED
"waitForElementVisible(findTestObject(""CO/modal_org""), 30)",Chrome 143.0.7499.170,,,06-01-2026 11:22:59,06-01-2026 11:23:00,1.251s,PASSED
