Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TC_CO,,,,06-01-2026 11:14:26,06-01-2026 11:14:30,3.786s,ERROR
,,,,,,,
Test Cases/CO/TC1.1,,,,06-01-2026 11:14:29,06-01-2026 11:14:30,0.465s,ERROR
PAGELOAD_TIMEOUT = 300,,,,06-01-2026 11:14:29,06-01-2026 11:14:29,0.000s,PASSED
WAIT_FIELD = 60,,,,06-01-2026 11:14:29,06-01-2026 11:14:29,0.001s,PASSED
MAX_RELOAD_ATTEMPTS = 1,,,,06-01-2026 11:14:29,06-01-2026 11:14:29,0.000s,PASSED
WAIT_AFTER_CLICK = 90,,,,06-01-2026 11:14:29,06-01-2026 11:14:29,0.000s,PASSED
WAIT_TIMEOUT = 120,,,,06-01-2026 11:14:29,06-01-2026 11:14:29,0.000s,PASSED
MEDIUM = 15,,,,06-01-2026 11:14:29,06-01-2026 11:14:29,0.001s,PASSED
SHORT = 5,,,,06-01-2026 11:14:29,06-01-2026 11:14:29,0.001s,PASSED
LONG = 30,,,,06-01-2026 11:14:29,06-01-2026 11:14:29,0.001s,PASSED
try,,,,06-01-2026 11:14:29,06-01-2026 11:14:30,0.431s,PASSED
driver = getWebDriver(),,,,06-01-2026 11:14:30,06-01-2026 11:14:30,0.002s,ERROR
