Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_OP,,,,06-01-2026 10:03:59,06-01-2026 10:04:04,5.105s,FAILED
,,,,,,,
Test Cases/OP/OP1.1,,,,06-01-2026 10:04:03,06-01-2026 10:04:03,0.388s,FAILED
"callTestCase(findTestCase(""Login/LG-01""), [:], STOP_ON_FAILURE)",,,,06-01-2026 10:04:03,06-01-2026 10:04:03,0.367s,FAILED
,,,,,,,
Test Cases/OP/OP1.6,,,,06-01-2026 10:04:03,06-01-2026 10:04:03,0.036s,FAILED
"verifyElementHasAttribute(findTestObject(""TO_address""), ""disabled"", 5)",,,,06-01-2026 10:04:03,06-01-2026 10:04:03,0.017s,FAILED
,,,,,,,
Test Cases/OP/OP1.7,,,,06-01-2026 10:04:04,06-01-2026 10:04:04,0.038s,FAILED
"scrollToElement(findTestObject(""TO_edit_details""), 5)",,,,06-01-2026 10:04:04,06-01-2026 10:04:04,0.020s,FAILED
