Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TC_CO,,,,06-01-2026 11:19:09,06-01-2026 11:19:13,3.916s,ERROR
,,,,,,,
Test Cases/CO/TC1.1,,,,06-01-2026 11:19:12,06-01-2026 11:19:13,0.465s,ERROR
PAGELOAD_TIMEOUT = 300,,,,06-01-2026 11:19:12,06-01-2026 11:19:12,0.001s,PASSED
WAIT_FIELD = 60,,,,06-01-2026 11:19:12,06-01-2026 11:19:12,0.001s,PASSED
MAX_RELOAD_ATTEMPTS = 1,,,,06-01-2026 11:19:12,06-01-2026 11:19:12,0.000s,PASSED
WAIT_AFTER_CLICK = 90,,,,06-01-2026 11:19:12,06-01-2026 11:19:12,0.001s,PASSED
WAIT_TIMEOUT = 120,,,,06-01-2026 11:19:12,06-01-2026 11:19:12,0.001s,PASSED
MEDIUM = 15,,,,06-01-2026 11:19:12,06-01-2026 11:19:12,0.000s,PASSED
SHORT = 5,,,,06-01-2026 11:19:12,06-01-2026 11:19:12,0.001s,PASSED
LONG = 30,,,,06-01-2026 11:19:12,06-01-2026 11:19:12,0.002s,PASSED
try,,,,06-01-2026 11:19:12,06-01-2026 11:19:13,0.434s,PASSED
driver = getWebDriver(),,,,06-01-2026 11:19:13,06-01-2026 11:19:13,0.002s,ERROR
