Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_HOM,Chrome 143.0.7499.170,,,08-01-2026 08:47:29,08-01-2026 08:48:09,40.632s,PASSED
,,,,,,,
Test Cases/HOM/TC_HOM_03,Chrome 143.0.7499.170,,,08-01-2026 08:47:30,08-01-2026 08:48:09,39.386s,PASSED
"openBrowser("""")",Chrome 143.0.7499.170,,,08-01-2026 08:47:30,08-01-2026 08:47:33,2.731s,PASSED
"navigateToUrl(""https://qa.engagement.magiqdev.cloud/organisation"")",Chrome 143.0.7499.170,,,08-01-2026 08:47:33,08-01-2026 08:48:04,31.139s,PASSED
"waitForElementVisible(findTestObject(""HOM/btn_hide_menu_items""), 60)",Chrome 143.0.7499.170,,,08-01-2026 08:48:04,08-01-2026 08:48:08,4.268s,PASSED
"click(findTestObject(""HOM/btn_hide_menu_items""))",Chrome 143.0.7499.170,,,08-01-2026 08:48:08,08-01-2026 08:48:09,1.126s,PASSED
