Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Location,Chrome 144.0.7559.60,,,26-01-2026 13:31:01,26-01-2026 13:31:34,32.500s,PASSED
,,,,,,,
Test Cases/Location/TC.LOC.5,Chrome 144.0.7559.60,,,26-01-2026 13:31:03,26-01-2026 13:31:34,30.873s,PASSED
"openBrowser("""")",Chrome 144.0.7559.60,,,26-01-2026 13:31:03,26-01-2026 13:31:06,3.341s,PASSED
"navigateToUrl(""https://qa.engagement.magiqdev.cloud/organisation"")",Chrome 144.0.7559.60,,,26-01-2026 13:31:06,26-01-2026 13:31:07,0.250s,PASSED
"waitForElementVisible(findTestObject(""Location/btn_location""), 120)",Chrome 144.0.7559.60,,,26-01-2026 13:31:07,26-01-2026 13:31:14,6.852s,PASSED
"click(findTestObject(""Location/btn_location""))",Chrome 144.0.7559.60,,,26-01-2026 13:31:14,26-01-2026 13:31:14,0.431s,PASSED
"waitForElementVisible(findTestObject(""Location/btn_upload""), 120)",Chrome 144.0.7559.60,,,26-01-2026 13:31:14,26-01-2026 13:31:15,1.332s,PASSED
"click(findTestObject(""Location/btn_upload""))",Chrome 144.0.7559.60,,,26-01-2026 13:31:15,26-01-2026 13:31:33,17.864s,PASSED
"filePath = ""D:\Upload\MagiqTowns.json""",Chrome 144.0.7559.60,,,26-01-2026 13:31:33,26-01-2026 13:31:33,0.002s,PASSED
robot = new java.awt.Robot(),Chrome 144.0.7559.60,,,26-01-2026 13:31:33,26-01-2026 13:31:33,0.116s,PASSED
"getSystemClipboard().setContents(new java.awt.datatransfer.StringSelection(filePath), null)",Chrome 144.0.7559.60,,,26-01-2026 13:31:33,26-01-2026 13:31:33,0.151s,PASSED
robot.keyPress(VK_CONTROL),Chrome 144.0.7559.60,,,26-01-2026 13:31:33,26-01-2026 13:31:34,0.086s,PASSED
robot.keyPress(VK_V),Chrome 144.0.7559.60,,,26-01-2026 13:31:34,26-01-2026 13:31:34,0.008s,PASSED
robot.keyRelease(VK_V),Chrome 144.0.7559.60,,,26-01-2026 13:31:34,26-01-2026 13:31:34,0.007s,PASSED
robot.keyRelease(VK_CONTROL),Chrome 144.0.7559.60,,,26-01-2026 13:31:34,26-01-2026 13:31:34,0.011s,PASSED
robot.keyPress(VK_ENTER),Chrome 144.0.7559.60,,,26-01-2026 13:31:34,26-01-2026 13:31:34,0.005s,PASSED
robot.keyRelease(VK_ENTER),Chrome 144.0.7559.60,,,26-01-2026 13:31:34,26-01-2026 13:31:34,0.004s,PASSED
