Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Location,Chrome 144.0.7559.60,,,26-01-2026 14:06:31,26-01-2026 14:07:28,56.455s,PASSED
,,,,,,,
Test Cases/Location/TC.LOC.5,Chrome 144.0.7559.60,,,26-01-2026 14:06:33,26-01-2026 14:07:28,54.748s,PASSED
"openBrowser("""")",Chrome 144.0.7559.60,,,26-01-2026 14:06:33,26-01-2026 14:06:37,3.502s,PASSED
"navigateToUrl(""https://qa.engagement.magiqdev.cloud/organisation"")",Chrome 144.0.7559.60,,,26-01-2026 14:06:37,26-01-2026 14:06:40,3.415s,PASSED
"waitForElementClickable(findTestObject(""Location/btn_location""), 120)",Chrome 144.0.7559.60,,,26-01-2026 14:06:40,26-01-2026 14:06:48,7.304s,PASSED
"click(findTestObject(""Location/btn_location""))",Chrome 144.0.7559.60,,,26-01-2026 14:06:48,26-01-2026 14:06:48,0.404s,PASSED
"waitForElementClickable(findTestObject(""Location/btn_upload""), 120)",Chrome 144.0.7559.60,,,26-01-2026 14:06:48,26-01-2026 14:07:12,24.054s,PASSED
"click(findTestObject(""Location/btn_upload""))",Chrome 144.0.7559.60,,,26-01-2026 14:07:12,26-01-2026 14:07:13,1.125s,PASSED
"filePath = ""D:\Upload\MagiqTowns.json""",Chrome 144.0.7559.60,,,26-01-2026 14:07:13,26-01-2026 14:07:13,0.005s,PASSED
robot = new java.awt.Robot(),Chrome 144.0.7559.60,,,26-01-2026 14:07:13,26-01-2026 14:07:13,0.069s,PASSED
"getSystemClipboard().setContents(new java.awt.datatransfer.StringSelection(filePath), null)",Chrome 144.0.7559.60,,,26-01-2026 14:07:13,26-01-2026 14:07:13,0.120s,PASSED
robot.keyPress(VK_CONTROL),Chrome 144.0.7559.60,,,26-01-2026 14:07:13,26-01-2026 14:07:13,0.048s,PASSED
robot.keyPress(VK_V),Chrome 144.0.7559.60,,,26-01-2026 14:07:13,26-01-2026 14:07:13,0.004s,PASSED
robot.keyRelease(VK_V),Chrome 144.0.7559.60,,,26-01-2026 14:07:13,26-01-2026 14:07:13,0.007s,PASSED
robot.keyRelease(VK_CONTROL),Chrome 144.0.7559.60,,,26-01-2026 14:07:13,26-01-2026 14:07:13,0.006s,PASSED
robot.keyPress(VK_ENTER),Chrome 144.0.7559.60,,,26-01-2026 14:07:13,26-01-2026 14:07:14,0.009s,PASSED
robot.keyRelease(VK_ENTER),Chrome 144.0.7559.60,,,26-01-2026 14:07:14,26-01-2026 14:07:14,0.004s,PASSED
delay(10),Chrome 144.0.7559.60,,,26-01-2026 14:07:14,26-01-2026 14:07:24,10.059s,PASSED
"waitForElementPresent(findTestObject(""Location/btn_update""), 120)",Chrome 144.0.7559.60,,,26-01-2026 14:07:24,26-01-2026 14:07:24,0.288s,PASSED
"click(findTestObject(""Location/btn_update""))",Chrome 144.0.7559.60,,,26-01-2026 14:07:24,26-01-2026 14:07:24,0.346s,PASSED
"waitForElementPresent(findTestObject(""Location/h4_message""), 120)",Chrome 144.0.7559.60,,,26-01-2026 14:07:24,26-01-2026 14:07:28,3.651s,PASSED
