Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Location,Chrome 144.0.7559.60,,,26-01-2026 13:59:15,26-01-2026 14:00:14,58.976s,PASSED
,,,,,,,
Test Cases/Location/TC.LOC.5,Chrome 144.0.7559.60,,,26-01-2026 13:59:17,26-01-2026 14:00:14,56.935s,PASSED
"openBrowser("""")",Chrome 144.0.7559.60,,,26-01-2026 13:59:18,26-01-2026 13:59:21,3.320s,PASSED
"navigateToUrl(""https://qa.engagement.magiqdev.cloud/organisation"")",Chrome 144.0.7559.60,,,26-01-2026 13:59:21,26-01-2026 13:59:22,1.042s,PASSED
"waitForElementClickable(findTestObject(""Location/btn_location""), 120)",Chrome 144.0.7559.60,,,26-01-2026 13:59:22,26-01-2026 13:59:28,5.528s,PASSED
"click(findTestObject(""Location/btn_location""))",Chrome 144.0.7559.60,,,26-01-2026 13:59:28,26-01-2026 13:59:28,0.410s,PASSED
"waitForElementClickable(findTestObject(""Location/btn_upload""), 120)",Chrome 144.0.7559.60,,,26-01-2026 13:59:28,26-01-2026 13:59:42,13.616s,PASSED
"click(findTestObject(""Location/btn_upload""))",Chrome 144.0.7559.60,,,26-01-2026 13:59:42,26-01-2026 13:59:43,1.562s,PASSED
"filePath = ""D:\Upload\MagiqTowns.json""",Chrome 144.0.7559.60,,,26-01-2026 13:59:43,26-01-2026 13:59:43,0.003s,PASSED
robot = new java.awt.Robot(),Chrome 144.0.7559.60,,,26-01-2026 13:59:43,26-01-2026 13:59:44,0.079s,PASSED
"getSystemClipboard().setContents(new java.awt.datatransfer.StringSelection(filePath), null)",Chrome 144.0.7559.60,,,26-01-2026 13:59:44,26-01-2026 13:59:44,0.119s,PASSED
robot.keyPress(VK_CONTROL),Chrome 144.0.7559.60,,,26-01-2026 13:59:44,26-01-2026 13:59:44,0.047s,PASSED
robot.keyPress(VK_V),Chrome 144.0.7559.60,,,26-01-2026 13:59:44,26-01-2026 13:59:44,0.003s,PASSED
robot.keyRelease(VK_V),Chrome 144.0.7559.60,,,26-01-2026 13:59:44,26-01-2026 13:59:44,0.007s,PASSED
robot.keyRelease(VK_CONTROL),Chrome 144.0.7559.60,,,26-01-2026 13:59:44,26-01-2026 13:59:44,0.005s,PASSED
robot.keyPress(VK_ENTER),Chrome 144.0.7559.60,,,26-01-2026 13:59:44,26-01-2026 13:59:44,0.008s,PASSED
robot.keyRelease(VK_ENTER),Chrome 144.0.7559.60,,,26-01-2026 13:59:44,26-01-2026 13:59:44,0.005s,PASSED
delay(30),Chrome 144.0.7559.60,,,26-01-2026 13:59:44,26-01-2026 14:00:14,30.076s,PASSED
"waitForElementPresent(findTestObject(""Location/btn_update""), 120)",Chrome 144.0.7559.60,,,26-01-2026 14:00:14,26-01-2026 14:00:14,0.249s,PASSED
"click(findTestObject(""Location/btn_update""))",Chrome 144.0.7559.60,,,26-01-2026 14:00:14,26-01-2026 14:00:14,0.352s,PASSED
